pares,frecuencia,grupo_a,grupo_b,lift,lift_relativo,ticket_grupo_b,ticket_grupo_a,frecuencia_norm,ticket_norm,score,relevancia
"('Cuidado Personal', 'Viaje y accesorios')",6,Cuidado Personal,Viaje y accesorios,0.0145013560658587,0.0250945707020986,102.86186651896982,126.30603772149972,0.0602409638554217,0.1467228620152778,0.0705080648567283,7.050806485672832
"('Alimentos', 'Cuidado Personal')",6,Alimentos,Cuidado Personal,0.0497274427720414,0.0860532506622274,126.30603772149972,57.39775684931507,0.0602409638554217,0.4429309874045695,0.1419414259266124,14.19414259266124
"('Alimentos', 'Recreación')",6,Alimentos,Recreación,0.0302009994954769,0.0522627755412203,126.7191375636869,57.39775684931507,0.0602409638554217,0.4481503457173796,0.136227202564973,13.622720256497304
"('Cultura y entretenimiento', 'Recreación')",6,Cultura y entretenimiento,Recreación,0.0163602744764152,0.0283114256825075,126.7191375636869,157.81659031754293,0.0602409638554217,0.4481503457173796,0.1314369325932304,13.143693259323047
"('Cuidado Personal', 'Moda')",5,Cuidado Personal,Moda,0.0050496819362742,0.0087384655474591,163.44572375305196,126.30603772149972,0.0481927710843373,0.9121766980725494,0.2130986953746041,21.30986953746041
"('Alimentos', 'Hogar')",5,Alimentos,Hogar,0.0164997229685386,0.0285527410483946,106.1559474824039,57.39775684931507,0.0481927710843373,0.1883423135467556,0.0722946735696324,7.229467356963248
"('Cuidado Personal', 'Tecnología')",5,Cuidado Personal,Tecnología,0.0026361509840402,0.0045618545569094,110.2164158829676,126.30603772149972,0.0481927710843373,0.2396447768645306,0.0777569889348904,7.775698893489044
"('Moda', 'Viaje y accesorios')",4,Moda,Viaje y accesorios,0.0145297794252605,0.0251437572746412,102.86186651896982,163.44572375305196,0.036144578313253,0.1467228620152778,0.0560600708459356,5.606007084593564
"('Cuidado Personal', 'Marketplace')",3,Cuidado Personal,Marketplace,0.0864902308213721,0.1496711895446599,91.2490996784566,126.30603772149972,0.0240963855421686,0.0,0.0443920692342331,4.43920692342332
"('Automotor', 'Industria y construcción')",3,Automotor,Industria y construcción,0.0411763981542932,0.0712556832649211,170.39672998643147,139.8062838953077,0.0240963855421686,0.9999999999999998,0.2287089679782853,22.87089679782854
"('Cultura y entretenimiento', 'Marketplace')",3,Cultura y entretenimiento,Marketplace,0.5778682663276657,1.0,91.2490996784566,157.81659031754293,0.0240963855421686,0.0,0.2144578313253012,21.44578313253012
"('Alimentos', 'Tecnología')",2,Alimentos,Tecnología,0.0130053723906675,0.0225057736312746,110.2164158829676,57.39775684931507,0.0120481927710843,0.2396447768645306,0.0596590257618116,5.965902576181168
"('Cultura y entretenimiento', 'Moda')",2,Cultura y entretenimiento,Moda,0.0134954013571663,0.0233537678802285,163.44572375305196,157.81659031754293,0.0120481927710843,0.9121766980725494,0.1943350088532062,19.43350088532062
"('Automotor', 'Moda')",2,Automotor,Moda,0.006226515689039,0.0107749742490764,163.44572375305196,139.8062838953077,0.0120481927710843,0.9121766980725494,0.1918192501269758,19.18192501269758
"('Cultura y entretenimiento', 'Tecnología')",2,Cultura y entretenimiento,Tecnología,0.00704517948193,0.0121916704765636,110.2164158829676,157.81659031754293,0.0120481927710843,0.2396447768645306,0.0575962051308694,5.759620513086948
"('Industria y construcción', 'Tecnología')",2,Industria y construcción,Tecnología,0.0069868906279703,0.0120908017191734,110.2164158829676,170.39672998643147,0.0120481927710843,0.2396447768645306,0.0575760313793914,5.757603137939143
"('Cultura y entretenimiento', 'Viaje y accesorios')",2,Cultura y entretenimiento,Viaje y accesorios,0.0322960308526439,0.0558882235528942,102.86186651896982,157.81659031754293,0.0120481927710843,0.1467228620152778,0.047751132776285,4.775113277628501
"('Cuidado Personal', 'Cultura y entretenimiento')",2,Cuidado Personal,Cultura y entretenimiento,0.008979334308485,0.0155387219401204,157.81659031754293,126.30603772149972,0.0120481927710843,0.8410547527457564,0.1785476105998259,17.854761059982597
"('Automotor', 'Viaje y accesorios')",1,Automotor,Viaje y accesorios,0.0074503802249235,0.0128928696366568,102.86186651896982,139.8062838953077,0.0,0.1467228620152778,0.0319231463303869,3.1923146330386944
"('Automotor', 'Cultura y entretenimiento')",1,Automotor,Cultura y entretenimiento,0.0138399721642072,0.0239500470447352,157.81659031754293,139.8062838953077,0.0,0.8410547527457564,0.1730009599580983,17.300095995809833
"('Automotor', 'Cuidado Personal')",1,Automotor,Cuidado Personal,0.0020714450970818,0.003584632030836,126.30603772149972,139.8062838953077,0.0,0.4429309874045695,0.0893031238870811,8.930312388708112
"('Alimentos', 'Automotor')",1,Alimentos,Automotor,0.0255485317774584,0.0442116884870985,139.8062838953077,57.39775684931507,0.0,0.6135014280011679,0.1315426232976533,13.15426232976533
"('Cuidado Personal', 'Industria y construcción')",1,Cuidado Personal,Industria y construcción,0.0044525215352057,0.0077050805428396,170.39672998643147,126.30603772149972,0.0,0.9999999999999998,0.2015410161085679,20.154101610856788
"('Industria y construcción', 'Moda')",1,Industria y construcción,Moda,0.0066918730392126,0.0115802743101629,163.44572375305196,170.39672998643147,0.0,0.9121766980725494,0.1847513944765424,18.47513944765425
